size,lengSort,lengSortInPlace,stl
512,39528,40107,50347
576,40985,41823,64999
640,57225,59265,71679
704,60837,59023,82044
768,73237,76815,94774
832,77626,73515,95784
896,80549,78761,101501
960,81473,81611,113337
1024,104867,95180,120367
1152,109970,102054,138339
1280,129002,117648,151587
1408,138647,124581,174023
1536,171874,149989,193003
1664,167922,154319,209945
1792,182519,163922,226240
1920,188322,183728,255619
2048,165809,211722,261268
2304,162343,218100,282155
2560,174138,253917,315853
2816,184392,273429,352343
3072,219400,325458,389027
3328,218740,331987,424083
3584,242667,365601,460055
3840,252669,385848,496903
4096,250401,431184,530343
4608,261300,466525,584892
5120,347360,573819,710044
5632,324490,602348,760021
6144,379278,704315,835002
6656,375934,725653,909235
7168,440797,793073,983004
7680,461611,895401,1141092
8192,505247,992812,1244551
9216,511478,1110155,1292709
10240,596994,1235435,1444330
11264,581882,1550674,1743792
12288,768326,1636507,1823866
13312,722204,1595143,2064677
14336,773682,1770780,2087930
15360,858897,2051422,2637031
16384,1147341,2261154,2653066
18432,1010264,2486487,3008632
20480,1540878,2826882,3299818
22528,1157633,3246616,3482205
24576,1597045,3826849,4105149
26624,1602278,3655114,4275099
28672,1640931,4073681,4890528
30720,1726846,4041594,4809074
32768,1963479,4505153,5544082
36864,2056203,5058903,5862979
40960,2386264,5873161,6997152
45056,2611852,6330767,7340315
49152,3251278,7295560,8061756
53248,3141280,7576276,9173772
57344,3373087,8287858,9971896
61440,3613436,9007325,10280770
65536,4185532,10945499,11246818
73728,5237715,11392900,12549988
81920,5155147,12772830,13921083
90112,5784459,13994311,15526581
98304,6634593,15982735,16895666
106496,7190008,17266202,19745014
114688,8231940,19604558,20122393
122880,8993411,19371080,21167865
131072,9362164,21687037,22982392
147456,10557080,24291300,27173492
163840,11727207,27672645,29006815
180224,12982773,30096480,32044617
196608,15576198,37125497,35955239
212992,15379584,36795592,39301033
229376,17623260,40384803,44853484
245760,17821391,42462821,45574360
262144,22398279,46812737,48789439
294912,22340194,54450734,55563849
327680,25254487,62657117,65587955
360448,30039800,67273892,70327945
393216,32238833,76366094,76311754
425984,41461128,80468426,89491886
458752,40330119,89089358,94332684
491520,37801199,102371670,100699933
524288,46080179,104064337,105257291
589824,51545458,120681342,121318553
655360,52442895,132754190,130851824
720896,58760154,143336935,142911103
786432,61746917,178252327,157501764
851968,55916205,165872749,167714846
917504,55185938,180519392,180949959
983040,57995421,191939658,195285962
1048576,65686867,209526899,209485913
1179648,69728130,240145112,237310716
1310720,80085709,272442538,266210570
1441792,88068926,298374869,293913075
1572864,101910392,335422278,323186205
1703936,101126926,357675169,353861304
1835008,111442713,391124588,381137552
1966080,122234461,423477925,410777892
2097152,128621009,453788520,441130361
2359296,142324898,519634648,496863833
2621440,157480338,599272463,557540833
2883584,176348335,642898795,615983797
3145728,206202272,725330972,678189860
3407872,224111345,771532659,738564044
3670016,228508352,834448412,796012308
3932160,237085165,894076544,861007936
4194304,257763378,976751674,919936113
4718592,282701274,1118083726,1044359744
5242880,365334482,1266118594,1169575359
5767168,403577497,1389441828,1292100191
6291456,462448578,1562091100,1420871218
6815744,478204502,1659955335,1543203283
7340032,506262342,1804561173,1674946298
7864320,560105548,1923081110,1790334633
8388608,551580122,2097043818,1929964504
9437184,609599515,2395372150,2192514297
10485760,691371772,2714385067,2434019971
11534336,740732801,2972256945,2696500784
12582912,841244780,3340394068,2956688133
13631488,879731445,3563970386,3232798264
14680064,957409965,3865376566,3483658377
15728640,1020996674,4109050765,3767930006
16777216,1087205670,4485365204,4008210402
18874368,1247682503,5150468472,4551328932
20971520,1390024626,5792123992,5114795290
23068672,1441460063,6378257805,5609934461
25165824,1838806989,7165349112,6174578822
27262976,1988857023,7723751113,6976010238
29360128,2771621652,8415100516,7755523232
31457280,3051867524,9021086428,7893521521
